Japanes,English
の,of
で,at
する,Do
です,is
宛先,to
だがしかし,But
そして,and
年,year
そして,And
いる,be
月,moon
また,also
差出人,from
太陽,sun
成る,become
物,thing
有る,have
夜,night
そして,and
等,etc
言う,say
日本,Japan
よし,good
これ,This
人,person
それ,that
迄,until
詰め込む,stuff
宛先,to
又,again
これ,This
する,do
ねえ,Hey
缶,can
駅,station
国,country
より,than
大学,university
プレゼント,present
後,after
又は,or
線,line
ニュー,Nu
放送,broadcast
数,number
陸軍,army
欠席する,absent
部,department
持つ,hold
場所,place
名前,name
時間,time
世界,world
時間,time
戦争,war
時代,era
東京,Tokyo
奥,Oku
だがしかし,But
呼び出し,call
その後,afterwards
会議,meeting
それ,That
織機,loom
会う,meet
受ける,receive
多い,many
プレーヤー,player
ケース,case
顔,face
しかし,however
溜める,amass
昭和,Showa
仕事,work
地球,earth
中央,middle
使う,use
一緒に,together
学校,school
言葉,word
彼,he
行く,go
アメリカ,America
その時には,at that time
プログラム,program
車,car
会社,company
川,river
映画,film
位,rank
見る,see
テレビ,television
制,system
研究,research
都市,town
東,east
存在,existence
活動,activity
販売,sale
他,other
